# timestamp=sample time  cpu%=% of one core (may exceed 100)  mem_MiB=container resident memory
timestamp                cpu%      mem_MiB
01:42:45               876.15       3345.4
01:42:52               871.62       3345.4
01:42:59               903.77       3345.4
01:43:05               882.25       3345.4
01:43:12               862.04       3402.8
01:43:18               907.85       3402.8
01:43:25               854.53       3402.8
01:43:32               846.40       3402.8
01:43:39               898.66       3403.8
01:43:45               902.37       3402.8
01:43:52               900.16       3402.8
01:43:59               873.08       3402.8
01:44:05               946.89       3403.8
01:44:12               884.85       3402.8
01:44:19               936.18       3403.8
01:44:26               864.51       3402.8
01:44:32               900.87       3402.8
01:44:39               939.55       3402.8
01:44:45               903.79       3402.8
01:44:52               901.33       3403.8
01:44:59               856.44       3403.8
01:45:05               881.19       3402.8
01:45:13               879.32       3402.8
01:45:19               889.43       3402.8
01:45:26               883.55       3402.8
01:45:33               892.08       3403.8
01:45:39               940.77       3402.8
01:45:46               895.43       3409.9
01:45:53               931.26       3409.9
01:45:59               876.02       3410.9
01:46:06               941.14       3409.9
01:46:13               949.67       3410.9
01:46:19               880.43       3410.9
01:46:26               954.88       3409.9
01:46:32               917.11       3409.9
01:46:39               877.34       3409.9
01:46:46               872.49       3410.9
01:46:53               895.69       3410.9
01:46:59               907.04       3410.9
01:47:06               876.36       3410.9
01:47:13               902.33       3410.9
01:47:20               898.64       3410.9
01:47:27               934.22       3410.9
01:47:33               923.73       3414.0
01:47:40               907.52       3414.0
01:47:47               877.57       3414.0
01:47:54               897.13       3414.0
01:48:00               861.02       3414.0
01:48:07               969.92       3414.0
01:48:14               907.79       3414.0
01:48:20               892.30       3414.0
01:48:27               879.32       3414.0
01:48:34               886.45       3414.0
01:48:40               975.21       3414.0
01:48:47               876.89       3414.0
01:48:54               888.08       3414.0
01:49:01               867.73       3414.0
01:49:07               894.45       3414.0
01:49:14               957.37       3414.0
01:49:20               845.02       3414.0
01:49:27               882.69       3414.0
01:49:34               900.44       3414.0
01:49:40               899.42       3414.0
01:49:47               933.96       3415.0
01:49:54               865.70       3414.0
01:50:01               895.44       3414.0
01:50:07               887.30       3414.0
01:50:14               922.42       3414.0
01:50:21               896.59       3414.0
01:50:27               948.35       3414.0
01:50:34               869.03       3414.0
01:50:41               856.99       3414.0
01:50:48               869.93       3414.0
01:50:55               867.57       3414.0
01:51:02               875.05       3414.0
01:51:08               857.21       3414.0
01:51:15               906.31       3414.0
01:51:22               885.57       3414.0
01:51:29               900.10       3414.0
01:51:36               896.28       3414.0
01:51:43               874.92       3414.0
01:51:49               886.62       3414.0
01:51:56               874.26       3417.1
01:52:03               886.36       3417.1
01:52:09               905.19       3417.1
01:52:16               929.43       3417.1
01:52:23               863.90       3417.1
01:52:29               894.58       3417.1
01:52:36               887.93       3417.1
01:52:43               855.52       3417.1
01:52:50               857.37       3417.1
01:52:57               895.05       3417.1
01:53:04               941.96       3418.1
01:53:10               874.72       3417.1
01:53:17               871.94       3417.1
01:53:24               908.17       3417.1
01:53:31               883.24       3417.1
01:53:38               861.88       3417.1
01:53:44               858.30       3417.1
01:53:51               891.32       3417.1
01:53:58               893.24       3417.1
01:54:04               874.71       3417.1
01:54:11               850.06       3417.1
01:54:18               874.17       3417.1
01:54:25               889.55       3417.1
01:54:32               854.71       3417.1
01:54:38               874.93       3417.1
01:54:45               874.62       3417.1
01:54:52               882.91       3417.1
01:54:59               864.25       3417.1
01:55:05               882.51       3417.1
01:55:12               895.69       3417.1
01:55:19               881.91       3417.1
01:55:25               897.17       3417.1
01:55:32               887.73       3417.1
01:55:39               894.25       3417.1
01:55:45               893.84       3417.1
01:55:52               890.29       3417.1
01:55:59               877.10       3417.1
01:56:06               886.48       3417.1
01:56:13               898.43       3417.1
01:56:20               865.22       3418.1
01:56:26               883.13       3417.1
01:56:33               892.67       3417.1
01:56:40               936.14       3417.1
01:56:47               868.33       3417.1
01:56:53               891.56       3417.1
01:57:00               886.97       3420.2
01:57:07               950.54       3421.2
01:57:14               887.09       3420.2
01:57:21               887.10       3420.2
01:57:28               886.91       3420.2
01:57:35               891.41       3420.2
01:57:42               880.45       3420.2
01:57:48               894.54       3420.2
01:57:55               888.96       3457.0
01:58:02               892.17       3457.0
01:58:09               904.01       3457.0
01:58:16               893.93       3457.0
01:58:22               884.22       3457.0
01:58:29               893.43       3457.0
01:58:36               879.20       3457.0
01:58:43               860.18       3457.0
01:58:49               883.36       3457.0
01:58:56               895.89       3457.0
01:59:03               895.47       3457.0
01:59:10               901.07       3457.0
01:59:17               871.31       3447.8
01:59:23               920.00       3448.8
01:59:30               917.13       3437.6
01:59:37               907.12       3436.5
01:59:43               868.49       3436.5
01:59:50               884.18       3436.5
01:59:57               883.86       3436.5
02:00:03               884.62       3437.6
02:00:10               895.45       3437.6
02:00:17               889.12       3437.6
02:00:23               904.53       3437.6
02:00:30               901.77       3436.5
02:00:36               905.80       3436.5
02:00:43               887.08       3437.6
02:00:50               881.87       3437.6
02:00:56               877.93       3437.6
02:01:03               909.08       3436.5
02:01:10               887.67       3438.6
02:01:16               905.07       3439.6
02:01:23               895.77       3439.6
02:01:30               896.80       3439.6
02:01:36               903.78       3439.6
02:01:43               923.83       3439.6
02:01:50               900.32       3439.6
02:01:56               882.35       3439.6
02:02:03               924.76       3441.7
02:02:09               885.85       3442.7
02:02:16               886.65       3441.7
02:02:23               889.55       3442.7
02:02:29               919.20       3442.7
02:02:36               972.23       3442.7
02:02:43               914.52       3441.7
02:02:50               893.57       3442.7
02:02:56               908.10       3442.7
02:03:03               881.61       3442.7
02:03:09               915.11       3442.7
02:03:16               894.69       3442.7
02:03:23               921.98       3442.7
